"numcode","ethgrpname","ccode","country","year","gpop","grpropctry","grplang","grpcustom","grpspatialdist","urbanrural","regbase","regbaseprop","trsntlkin","trnspwrkin","sepkin","emig","displace","poldisc","ecdisc","langdisc","adminauto","legisrep","execrep","govrep","polgrieve","econgrieve","culgrieve","kinsup","kinmatsup","kinpolsup","kinmilsup","intracon","protest","region","pct_ctry","miss"
81602,"Chinese",816,"Vietnam",2005,2297228,0.0275,1,0,1,3,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2.75,0
81602,"Chinese",816,"Vietnam",2006,2321082,0.0275,1,0,1,3,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2.75,0
81604,"Montagnards",816,"Vietnam",2004,793563,0.0096,1,1,3,1,1,3,2,1,0,1,0,4,4,0,0,0,0,0,3,2,2,1,1,0,0,0,3,1,0.959999978542328,0
81604,"Montagnards",816,"Vietnam",2005,801942,0.0096,1,1,3,1,1,3,2,1,0,1,0,4,4,0,0,0,0,0,3,2,2,1,1,0,0,0,3,1,0.959999978542328,0
81604,"Montagnards",816,"Vietnam",2006,810268,0.0096,1,1,3,1,1,3,2,1,0,1,0,4,4,0,0,0,0,0,3,2,2,1,1,0,0,0,0,1,0.959999978542328,0
82001,"Chinese",820,"Malaysia",2004,6589823,0.28,1,1,1,5,0,0,1,3,0,0,0,3,0,1,0,1,1,0,1,1,1,0,0,0,0,0,0,1,28,0
82001,"Chinese",820,"Malaysia",2005,6710507,0.28,1,1,1,5,0,0,1,3,0,0,0,3,0,1,0,1,1,0,1,1,2,0,0,0,0,0,0,1,28,0
82001,"Chinese",820,"Malaysia",2006,6831783,0.28,1,1,1,5,0,0,1,3,0,0,0,3,0,1,0,1,1,0,1,1,2,0,0,0,0,0,3,1,28,0
82002,"Dayaks",820,"Malaysia",2004,941403,0.04,1,1,3,1,1,3,2,1,0,0,0,2,1,0,0,1,1,0,0,2,0,0,0,0,0,0,0,1,4,0
82002,"Dayaks",820,"Malaysia",2005,958644,0.04,1,1,3,1,1,3,2,1,0,0,0,2,1,0,0,1,1,0,0,2,0,0,0,0,0,0,0,1,4,0
82002,"Dayaks",820,"Malaysia",2006,975969,0.04,1,1,3,1,1,3,2,1,0,0,0,2,1,0,0,1,1,0,0,2,0,0,0,0,0,0,0,1,4,0
82003,"East Indians",820,"Malaysia",2004,1812201,0.077,1,1,0,3,0,0,1,1,0,0,0,2,2,0,0,1,1,0,0,2,0,0,0,0,0,0,0,1,7.69999980926514,0
82003,"East Indians",820,"Malaysia",2005,1845389,0.077,1,1,0,3,0,0,1,1,0,0,0,2,2,0,0,1,1,0,0,2,0,0,0,0,0,0,1,1,7.69999980926514,0
82003,"East Indians",820,"Malaysia",2006,1878740,0.077,1,1,0,3,0,0,1,1,0,0,0,2,2,0,0,1,1,0,0,2,1,0,0,0,0,0,3,1,7.69999980926514,0
