no,entidad_federativa,anio_ocurrencia_evento,boletin_prensa,fecha_emision_boletin_prensa,tipo_fenomeno,amenaza_natural,instancia_corroboradora,nombre_municipios_corroborados,numero_municipios_corroborados,oficio_poblacion_afectada,poblacion_afectada,poblacion_atendida,fecha_publicacion_declaratoria_dof,publicacion_dof,instancia_que_elaboro_informe_utilizacion_insumos,boletin_prensa_aviso_termino_emergencia,fecha_emision_boletin_prensa_termino_situacion_emergencia,fecha_publicacion_aviso_termino_declaratoria_dof,publicacion_termino_dof,total_insumos_autorizados,despensas,despensa_sobrevivencia,despensa_mantenimiento,alimentos_consumo_inmediato,fruta_para_poblacion,alimento_granel,cobertor_a,cobertor_b,colchoneta,hamaca,lamina_tipo_a,lamina_tipo_b,lamina_tipo_c,palma_sintetica,palma_natural,litros_agua,kit_limpieza,kit_aseo_personal,costales,saco_absorbente,impermeables,botas,rollos_hule,guantes_carnaza,toallas_sanitarias_femeninas,banieras_para_bebe,panial_etapa_5,panial_etapa_4,panial_etapa_3,panial_etapa_2,panial_etapa_1,panial_para_adulto,linternas,palas,marros,barretas,machetes,martillos,carretillas,cascos,azadones,hachas,zapapicos,motosierras,mochilas_aspersores,mascarillas,cocinas_comunitarias,servicios_potabilizadoras_agua,servicio_bombas_extraccion_agua,servicio_retroexcavadoras,servicio_vactors,envases_agua,combustible,fletes,servicio_letrinas,servicio_regaderas,arrendamiento_montacargas,arrendamiento_generadores_energia,lote_insumos_para_salud,costo_fuerzas_armadas,costo_estimado_sspc,costo_total_declaratoria,observaciones
154.0,Nuevo León,2021,BDE-016-2021,03-abr-21,Incendio Forestal,Incendio forestal del 13 de marzo al 2 de abril de 2021,CONAFOR,"Santiago, Linares,Montemorelos y Galeana,",4,SSPC/SPPPCCP/CNPC/DGPC/384/2021 - SSPC/SPPPCCP/CNPC/DGPC/422/2021,1413,1413,12-abr-21,http://www.dof.gob.mx/nota_detalle.php?codigo=5615585&fecha=12/04/2021,SEDENA,BDE-020-2021,23-abr-21,03-may-21,http://dof.gob.mx/nota_detalle.php?codigo=5617387&fecha=03/05/2021,753,353,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,200,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0, $-   ,"$191,533.20","$191,533.20",
155.0,Oaxaca,2021,BDE-018-2021,13-abr-21,Incendio Forestal,Incendios forestales del 23 de febrero al 5 de abril de 2021,CONAFOR,"Cuilápam de Guerrero, Putla Villa de Guerrero, San Juan Lachao, San Juan Ozolotepec, San Juan Teita, San Miguel del Puerto, Santa Cruz Itundujia, Santa María Tonameca, Santo Domingo Tehuantepec, Santiago Astata, Santiago Ixtayutla, Santo Tomás Jalieza y Villa de Tututepec de Melchor Ocampo",13,SSPC/SPPPCCP/CNPC/DGPC/421/2021,0,0,21-abr-21,https://www.dof.gob.mx/nota_detalle.php?codigo=5616437&fecha=21/04/2021,SEDENA,BDE-019-2021,16-abr-21,21-abr-21,https://www.dof.gob.mx/nota_detalle.php?codigo=5616438&fecha=21/04/2021,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0, $-   , $-   , $-   ,
156.0,Oaxaca,2021,BDE-021-2021,07-may-21,Hidrometeorológico,Lluvia y granizada severa el 30 de abril de 2021,CONAGUA,San Pedro Coxcaltepec Cántaros y Zimatlán de Álvarez,2,SSPC/SPPPCCP/CNPC/DGPC/543/2021,40,0,17-may-21,http://dof.gob.mx/nota_detalle.php?codigo=5618493&fecha=17/05/2021,SEDENA,BDE-022-2021,10-may-21,17-may-21,http://www.dof.gob.mx/nota_detalle.php?codigo=5618494&fecha=17/05/2021,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0, $-   , $-   , $-   ,
157.0,Oaxaca,2021,BDE-023-2021,21-may-21,Hidrometeorológico,Lluvia y granizada severa el 17 de mayo de 2021,CONAGUA,San Pedro Totolápam y Magdalena Yodocono de Porfirio Díaz,2,SSPC/SPPPCCP/CNPC/DGPC/578/2021,48,0,31-may-21,http://www.dof.gob.mx/nota_detalle.php?codigo=5619827&fecha=31/05/2021,SEDENA,BDE-024-2021,25-may-21,31-may-21,http://www.dof.gob.mx/nota_detalle.php?codigo=5619828&fecha=31/05/2021,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0, $-   , $-   , $-   ,
158.0,Oaxaca,2021,BDE-025-2021,22-jun-21,Hidrometeorológico,Lluvia severa e inundación fluvial y pluvial los días 15 y 16 de junio de 2021,CONAGUA,"Guevea de Humboldt, San Juan Cotzocón, San Pedro Comitancillo, Santa María Guienagati, Juchitán de Zaragoza, Santa María Xadani y Asunción Ixtaltepec.",7,SSPC/SPPPCCP/CNPC/DGPC/708/2021,247,0,30-jun-21,http://www.dof.gob.mx/nota_detalle.php?codigo=5622568&fecha=30/06/2021,SEDENA,BDE-026-2021,25-jun-21,30-jun-21,http://www.dof.gob.mx/nota_detalle.php?codigo=5622569&fecha=30/06/2021,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0, $-   , $-   , $-   ,
159.0,Chiapas,2021,BDE-027-2021,30-jun-21,Hidrometeorológico,Lluvia severa el 25 de junio de 2021,CONAGUA,Huixtla,1,SSPC/SPPPCCP/CNPC/DGPC/758/2021,500,500,08-jul-21,http://www.dof.gob.mx/nota_detalle.php?codigo=5623269&fecha=08/07/2021,SEDENA,BDE-031-2021,10-jul-21,19-jul-21,http://www.dof.gob.mx/nota_detalle.php?codigo=5624245&fecha=19/07/2021,8676,125,0,0,0,0,0,0,500,500,0,0,0.0,0,0,0,4000,125,125,0,0,250,250,0,0,1600,0,600,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,1, $-   ,"$9,754,126.35","$9,754,126.35",
160.0,Oaxaca,2021,BDE-028-2021,02-jul-21,Hidrometeorológico,Inundación fluvial y pluvial el 23 de junio de 2021,CONAGUA,Acatlán de Pérez Figueroa y San Mateo Yoloxochitlán,2,SSPC/SPPPCCP/CNPC/DGPC/763/2021,160,0,12-jul-21,http://www.dof.gob.mx/nota_detalle.php?codigo=5623627&fecha=12/07/2021,SEDENA,BDE-029-2021,04-jul-21,12-jul-21,http://www.dof.gob.mx/nota_detalle.php?codigo=5623628&fecha=12/07/2021,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0, $-   , $-   , $-   ,
161.0,Chihuahua,2021,BDE-030-2021,06-jul-21,Hidrometeorológico,Lluvia severa e inundación pluvial del 27 al 30 de junio de 2021,CONAGUA,Chihuahua,1,SSPC/SPPPCCP/CNPC/DGPC/803/2021,580,580,14-jul-21,http://www.dof.gob.mx/nota_detalle.php?codigo=5623849&fecha=14/07/2021,SEDENA,BDE-033-2021,16-jul-21,26-jul-21,http://www.dof.gob.mx/nota_detalle.php?codigo=5624828&fecha=26/07/2021,3485,145,0,0,0,0,0,580,0,580,0,0,1885.0,0,0,0,0,145,145,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0, $-   ,"$1,474,110.60","$1,474,110.60",
162.0,Tamaulipas,2021,BDE-032-2021,14-jul-21,Hidrometeorológico,Lluvia severa e inundación pluvial los días 8 y 9 de julio de 2021,CONAGUA,Matamoros,1,SSPC/SPPPCCP/CNPC/DGPC/828/2021,907,907,22-jul-21,http://www.dof.gob.mx/nota_detalle.php?codigo=5624573&fecha=22/07/2021,SEDENA,BDE-034-2021,24-jul-21,02-ago-21,http://www.dof.gob.mx/nota_detalle.php?codigo=5625468&fecha=02/08/2021,22696,226,0,0,0,0,0,0,907,907,0,0,2947.0,0,0,0,7256,226,226,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,1, $-   ,"$23,877,498.31","$23,877,498.31",
163.0,Sonora,2021,BDE-035-2021,27-jul-21,Hidrometeorológico,Inundación pluvial el 22 de julio de 2021,CONAGUA,Agua Prieta,1,SSPC/SPPPCCP/CNPC/DGPC/897/2021,6000,6000,04-ago-21,http://www.dof.gob.mx/nota_detalle.php?codigo=5625687&fecha=04/08/2021,SEDENA,BDE-037-2021,06-ago-21,16-ago-21,http://www.dof.gob.mx/nota_detalle.php?codigo=5626633&fecha=16/08/2021,27272,1000,0,0,0,0,0,0,4000,4000,0,0,4264.0,0,0,0,8000,1000,1000,0,4000,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,1, $-   ,"$8,119,932.30","$8,119,932.30",
