no,entidad_federativa,anio_ocurrencia_evento,boletin_prensa,fecha_emision_boletin_prensa,tipo_fenomeno,amenaza_natural,instancia_corroboradora,nombre_municipios_corroborados,numero_municipios_corroborados,oficio_poblacion_afectada,poblacion_afectada,poblacion_atendida,fecha_publicacion_declaratoria_dof,publicacion_dof,instancia_que_elaboro_informe_utilizacion_insumos,boletin_prensa_aviso_termino_emergencia,fecha_emision_boletin_prensa_termino_situacion_emergencia,fecha_publicacion_aviso_termino_declaratoria_dof,publicacion_termino_dof,total_insumos_autorizados,despensas,despensa_sobrevivencia,despensa_mantenimiento,alimentos_consumo_inmediato,fruta_para_poblacion,alimento_granel,cobertor_a,cobertor_b,colchoneta,hamaca,lamina_tipo_a,lamina_tipo_b,lamina_tipo_c,palma_sintetica,palma_natural,litros_agua,kit_limpieza,kit_aseo_personal,costales,saco_absorbente,impermeables,botas,rollos_hule,guantes_carnaza,toallas_sanitarias_femeninas,banieras_para_bebe,panial_etapa_5,panial_etapa_4,panial_etapa_3,panial_etapa_2,panial_etapa_1,panial_para_adulto,linternas,palas,marros,barretas,machetes,martillos,carretillas,cascos,azadones,hachas,zapapicos,motosierras,mochilas_aspersores,mascarillas,cocinas_comunitarias,servicios_potabilizadoras_agua,servicio_bombas_extraccion_agua,servicio_retroexcavadoras,servicio_vactors,envases_agua,combustible,fletes,servicio_letrinas,servicio_regaderas,arrendamiento_montacargas,arrendamiento_generadores_energia,lote_insumos_para_salud,costo_fuerzas_armadas,costo_estimado_sspc,costo_total_declaratoria,observaciones
164.0,Sonora,2021,BDE-036-2021,27-jul-21,Hidrometeorológico,Inundación pluvial el 27 de julio de 2021,CONAGUA,Nogales,1,SSPC/SPPPCCP/CNPC/DGPC/898/2021,3600,3600,04-ago-21,http://www.dof.gob.mx/nota_detalle.php?codigo=5625688&fecha=04/08/2021,SEDENA,BDE-038-2021,06-ago-21,16-ago-21,http://www.dof.gob.mx/nota_detalle.php?codigo=5626634&fecha=16/08/2021,18401,800,0,0,0,0,0,0,3200,3200,0,0,0.0,0,0,0,6400,800,800,0,3200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,1, $-   ,"$4,189,491.81","$4,189,491.81",
165.0,Veracruz,2021,BDE-039-2021,20-ago-21,Hidrometeorológico,"Inminente impacto del huracán ""Grace"" y Vientos fuertes entre el 20 y 21 de agosto de 2021",CONAGUA,"Álamo Temapache, Castillo de Teayo, Cazones de Herrera, Chumatlán, Coahuitlán, Coatzintla, Coxquihui, Coyutla, Espinal, Filomeno Mata, Gutiérrez Zamora, Ixhuatlán de Madero, Martínez de la Torre, Mecatlán, Papantla, Poza Rica de Hidalgo, San Rafael, Tecolutla, Tihuatlán, Tlapacoyan, Tuxpan y Zozocolco",22,SSPC/SPPPCCP/CNPC/DGPC/00987/2021 SSPC/SPPPCCP/CNPC/DGPC/00998/2021 SSPC/SPPPCCP/CNPC/DGPC/01019/2021 SSPC/SPPPCCP/CNPC/DGPC/01034/2021,54928,54928,26-ago-21,http://www.dof.gob.mx/nota_detalle.php?codigo=5627725&fecha=26/08/2021,SEDENA,BDE-049-2021,17-sep-21,23-sep-21,http://www.dof.gob.mx/nota_detalle.php?codigo=5630653&fecha=23/09/2021,439434,0,27464,0,0,0,0,0,54928,54928,0,60000,0.0,0,0,0,56000,13732,13732,0,0,0,0,0,0,76248,0,0,0,0,27464,27464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27464,0,10,0,0.0,0,0,0,0,0,0,0,0,0, $-   ,"$76,614,982.08","$76,614,982.08",
166.0,Veracruz,2021,BDE-040-2021,27-ago-21,Hidrometeorológico,"Lluvia severa, inundación fluvial y pluvial y movimiento de ladera del 20 al 23 de agosto de 2021",CONAGUA,"Alto Lucero de Gutiérrez Barrios, Cerro Azul, Chiconquiaco, Misantla, Naolinco, Nautla, Tantoyuca, Texcatepec, Tlachichilco, Tonayán, Zacualpan, Banderilla, Coatepec, Jilotepec, Coacoatzintla, Vega de Alatorre, Xalapa, Chalma, Chicontepec, Tempoal, Ilamatlán, Platón Sánchez, Huayacocotla, Miahuatlán y Zontecomatlán de López y Fuentes",25,SSPC/SPPPCCP/CNPC/DGPC/01000/2021 SSPC/SPPPCCP/CNPC/DGPC/01021/2021 SSPC/SPPPCCP/CNPC/DGPC/01036/2021,28153,28153,02-sep-21,http://www.dof.gob.mx/nota_detalle.php?codigo=5628657&fecha=02/09/2021,SEDENA,BDE-050-2021,17-sep-21,23-sep-21,http://www.dof.gob.mx/nota_detalle.php?codigo=5630654&fecha=23/09/2021,250261,0,7038,0,0,0,0,0,28153,28153,0,0,0.0,0,0,0,36172,7038,7038,0,0,0,0,0,0,54258,0,0,0,0,54258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28153,0,0,0,0.0,0,0,0,0,0,0,0,0,0,"$67,302,182.06", $-   ,"$67,302,182.06",
167.0,Puebla,2021,BDE-041-2021,31-ago-21,Hidrometeorológico,"Huracán categoría 2 ""Grace"" (lluvia severa) e inundación fluvial los días 21 y 22 de agosto de 2021",CONAGUA,"Ahuacatlán, Ahuazotepec, Amixtlán, Aquixtla, Ayotoxco de Guerrero, Camocuautla,Caxhuacan, Chiconcuautla, Chignahuapan, Francisco Z Mena, Honey, Coatepec, Cuautempan, Cuetzalan del Progreso, Cuyoaco, Hermenegildo Galeana, Huauchinango, Huehuetla, Hueyapan, Hueytamalco, Huitzilan de Serdán, Atlequizayan, Ixtacamaxtitlán, Ixtepec, Jalpan, Jonotla, Jopala, Juan Galindo, Naupan, Nauzontla, Olintla, Pahuatlán, Pantepec, San Felipe Tepatlán, Tenampulco, Tepangode Rodríguez, Tepetzintla, Tetela de Ocampo, Tlacuilotepec, Tlaola, Tlapacoya, Tlatlauquitepec, Tuzamapan de Galeana, Venustiano Carranza, Xicotepec, Xiutetelco, Xochiapulco, Xochitlán de Vicente Suárez, Yaonáhuac, Zacapoaxtla, Zacatlán, Zapotitlán de Méndez, Zautla, Zongozotla y Zoquiapan.",55,SSPC/SPPPCCP/CNPC/DGPC/01007/2021,34729,34729,06-sep-21,http://www.dof.gob.mx/nota_detalle.php?codigo=5628892&fecha=06/09/2021,SEDENA,BDE-044-2021,07-sep-21,13-sep-21,http://www.dof.gob.mx/nota_detalle.php?codigo=5629550&fecha=13/09/2021,95504,0,8682,0,0,0,0,34729,0,34729,0,0,0.0,0,0,0,0,8682,8682,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,"$29,927,476.47", $-   ,"$29,927,476.47",
168.0,Sinaloa,2021,BDE-042-2021,01-sep-21,Hidrometeorológico,"Lluvia severa y vientos fuertes los días 28, 29 y 30 de agosto de 2021 (Huracán ""Nora"")",CONAGUA,"Escuinapa, Elota, San Ignacio, Culiacán, Rosario, Mazatlán y Concordia",7,SSPC/SPPPCCP/CNPC/DGPC/01013/2021 SSPC/SPPPCCP/CNPC/DGPC/01030/2021,7969,7969,07-sep-21,http://www.dof.gob.mx/nota_detalle.php?codigo=5628965&fecha=07/09/2021,SEDENA,BDE-048-2021,15-sep-21,22-sep-21,http://www.dof.gob.mx/nota_detalle.php?codigo=5630548&fecha=22/09/2021,61914,0,1992,0,0,0,0,7969,0,7969,0,0,0.0,0,0,0,40000,1992,1992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,"$13,590,810.01", $-   ,"$13,590,810.01",
169.0,Michoacán,2021,BDE-043-2021,03-sep-21,Hidrometeorológico,"Huracán categoría 1 ""Nora"" (lluvia severa) e inundación fluvial y pluvial los días 27, 28 y 29 de agosto de 2021",CONAGUA,Arteaga y Lázaro Cárdenas,2,SSPC/SPPPCCP/CNPC/DGPC/01023/2021 SSPC/SPPPCCP/CNPC/00927/2021,2413,2413,09-sep-21,http://www.dof.gob.mx/nota_detalle.php?codigo=5629267&fecha=09/09/2021,SEDENA,BDE-051-2021,17-sep-21,23-sep-21,http://www.dof.gob.mx/nota_detalle.php?codigo=5630652&fecha=23/09/2021,10135,0,603,0,0,0,0,0,2413,1913,500,0,0.0,0,0,1000,2500,603,603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,"$2,102,472.70", $-   ,"$2,102,472.70",
170.0,Jalisco,2021,BDE-045-2021,07-sep-21,Hidrometeorológico,"Huracán categoría 1 ""Nora"" (lluvia severa y vientos fuerte) e inundación fluvial los días 28 y 29 de agosto de 2021",CONAGUA,"Cihuatlán, La Huerta, Autlán de Navarro, Cabo Corrientes, Talpa de Allende, Tomatlán y Puerto Vallarta",7,SSPC/SPPPCCP/CNPC/DGPC/01027/2021 SSPC/SPPPCCP/CNPC/00941/2021,6451,6451,13-sep-21,http://www.dof.gob.mx/nota_detalle.php?codigo=5629549&fecha=13/09/2021,SEDENA,BDE-054-2021,21-sep-21,27-sep-21,http://www.dof.gob.mx/nota_detalle.php?codigo=5630913&fecha=27/09/2021,6157,0,1613,0,0,0,0,0,0,0,0,0,0.0,0,0,0,1318,1613,1613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,"$4,392,655.49", $-   ,"$4,392,655.49",
171.0,Baja California Sur,2021,BDE-046-2021,14-sep-21,Hidrometeorológico,"Ciclón tropical ""Olaf"" (lluvia severa y vientos fuertes) e inundación pluvial del 9 y 10 de septiembre de 2021",CONAGUA,La Paz y Los Cabos,2,SSPC/SPPPCCP/CNPC/DGPC/01050/2021,8037,8037,21-sep-21,http://www.dof.gob.mx/nota_detalle.php?codigo=5630345&fecha=21/09/2021,SEDENA,BDE-055-2021,21-sep-21,27-sep-21,http://www.dof.gob.mx/nota_detalle.php?codigo=5630912&fecha=27/09/2021,11200,0,2000,0,0,0,0,0,1000,1000,0,2000,0.0,0,0,0,3000,800,800,0,0,300,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,"$6,025,314.56", $-   ,"$6,025,314.56",
172.0,Hidalgo,2021,BDE-047-2021,14-sep-21,Hidrometeorológico,Lluvia severa e inundación fluvial del 6 al 8 de septiembre de 2021,CONAGUA,"Tlaxcoapan, Tula de Allende, Ixmiquilpan, Tezontepec de Aldama, Chilcuautla, Tasquillo, Tlahuelilpan, Tepeji del Río de Ocampo y Mixquiahuala de Juárez",9,SSPC/SPPPCCP/CNPC/DGPC/01049/2021 SSPC/SPPPCCP/CNPC/00971/2021,14722,14722,21-sep-21,http://www.dof.gob.mx/nota_detalle.php?codigo=5630346&fecha=21/09/2021,SEDENA,BDE-058-2021,28-sep-21,04-oct-22,http://www.dof.gob.mx/nota_detalle.php?codigo=5631567&fecha=04/10/2021,25765,0,3681,0,0,0,0,0,0,0,0,0,0.0,0,0,0,14722,3681,3681,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,"$6,896,499.26", $-   ,"$6,896,499.26",
173.0,Oaxaca,2021,BDE-052-2021,17-sep-21,Hidrometeorológico,Lluvia severa e inundación pluvial los días 12 y 13 de septiembre de 2021,CONAGUA,"Unión Hidalgo, El Espinal, Ciudad Ixtepec, Juchitán de Zaragoza, San Dionisio del Mar, Santo Domingo Ingenio, San Juan Guichicovi, Matías Romero Avendaño, San Francisco del Mar y El Barrio de la Soledad.",10,SSPC/SPPPCCP/CNPC/DGPC/01056/2021,11525,11525,23-sep-21,http://www.dof.gob.mx/nota_detalle.php?codigo=5630651&fecha=23/09/2021,SEDENA,BDE-057-2021,24-sep-21,30-sep-21,http://www.dof.gob.mx/nota_detalle.php?codigo=5631307&fecha=30/09/2021,96450,0,2881,0,0,0,0,0,11525,11525,0,1450,0.0,0,0,0,40000,2881,2881,2000,0,5762,2000,20,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11525,0,0,0,0.0,0,0,0,0,0,0,0,0,0,"$13,233,034.89", $-   ,"$13,233,034.89",
174.0,Estado de México,2021,BDE-053-2021,19-sep-21,Geológico,Presencia de movimiento de ladera (Extraordinaria),CENAPRED,Tlalnepantla de Baz,1,SSPC/SPPPCCP/CNPC/DGPC/01057/2021 SSPC/SPPPCCP/CNPC/DGPC/01077/2021 SSPC/SPPPCCP/CNPC/DGPC/01127/2021,564,564,23-sep-21,http://www.dof.gob.mx/nota_detalle.php?codigo=5630650&fecha=23/09/2021,SEDENA,BDE-060-2021,10-oct-21,14-oct-21,http://www.dof.gob.mx/nota_detalle.php?codigo=5632667&fecha=14/10/2021,1341,0,141,0,0,0,0,0,0,0,0,0,0.0,0,0,0,1200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,"$221,418.60", $-   ,"$221,418.60",
175.0,Zacatecas,2021,BDE-056-2021,23-sep-21,Hidrometeorológico,Inundación fluvial el 16 y 17 de septiembre de 2021,CONAGUA,Cuauhtémoc y Genaro Codina,2,SSPC/SPPPCCP/CNPC/DGPC/01073/2021,1271,1271,29-sep-21,http://www.dof.gob.mx/nota_detalle.php?codigo=5631168&fecha=29/09/2021,SEDENA,BDE-059-2021,30-sep-21,06-oct-21,http://www.dof.gob.mx/nota_detalle.php?codigo=5631769&fecha=06/10/2021,3496,0,318,0,0,0,0,1271,0,1271,0,0,0.0,0,0,0,0,318,318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,"$471,466.80","$594,615.77","$1,066,082.57",
176.0,Sinaloa,2021,BDE-061-2021,15-oct-21,Hidrometeorológico,Presencia del huracán Pamela (lluvia severa y vientos fuertes) los días 12 y 13 de octubre de 2021,CONAGUA,"Ahome, Escuinapa, Mazatlán y Rosario",4,SSPC/SPPPCCP/CNPC/DGPC/01178/2021,12952,12952,21-oct-21,http://www.dof.gob.mx/nota_detalle.php?codigo=5633388&fecha=21/10/2021,SEDENA,BDE-063-2021,22-oct-21,28-oct-21,http://www.dof.gob.mx/nota_detalle.php?codigo=5633946&fecha=28/10/2021,61618,0,3238,0,0,0,0,12952,0,12952,0,0,0.0,0,0,0,26000,3238,3238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0, $-   ,"$5,502,657.20","$5,502,657.20",
177.0,Nayarit,2021,BDE-062-2021,20-oct-21,Hidrometeorológico,Lluvia severa e inundación fluvial y pluvial del 13 al 15 de octubre de 2021,CONAGUA,"Acaponeta, Huajicori, Tecuala, Tuxpan, Rosamorada, Ruiz y Santiago Ixcuintla",7,SSPC/SPPPCCP/CNPC/DGPC/01194/2021,21000,21000,26-oct-21,http://www.dof.gob.mx/nota_detalle.php?codigo=5633685&fecha=26/10/2021,SEDENA,BDE-065-2021,03-nov-21,09-nov-21,http://www.dof.gob.mx/nota_detalle.php?codigo=5634792&fecha=09/11/2021,147013,0,10500,0,0,0,0,0,21000,21000,0,0,0.0,0,0,0,84000,5250,5250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0.0,8,0,0,0,0,0,0,0,1,"$18,120,516.75","$20,889,175.87","$39,009,692.62",
178.0,Guerrero,2021,BDE-064-2021,01-nov-21,Hidrometeorológico,"Lluvia severa, vientos fuertes e inundación fluvial y pluvial los días 24 y 25 de octubre de 2021",CONAGUA,"Benito Juárez, La Unión de Isidoro Montes de Oca, Coahuayutla de José María Izazaga, Zihuatanejo de Azueta, Petatlán y Técpan de Galeana",6,SSPC/SPPPCCP/CNPC/DGPC/01222/2021,7020,7020,05-nov-21,http://www.dof.gob.mx/nota_detalle.php?codigo=5634649&fecha=05/11/2021,MARINA,BDE-066-2021,08-nov-21,12-nov-21,http://www.dof.gob.mx/nota_detalle.php?codigo=5635205&fecha=12/11/2021,51856,0,1755,0,0,0,0,0,7020,7020,0,17550,,0,0,0,15000,1755,1755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,1,"$3,307,050.00","$10,796,954.22","$14,104,004.22",
179.0,Guerrero,2021,BDE-067-2021,09-nov-21,Geológico,Sismo ocurrido 7 de septiembre de 2021,CENAPRED,Acapulco de Juárez,1,SSPC/SPPPCCP/CNPC/DGPC/01276/2021 SSPC/SPPPCCP/CNPC/DGPC/01294/2021 SSPC/SPPPCCP/CNPC/DGPC/01332/2021,1000,1000,16-nov-21,http://www.dof.gob.mx/nota_detalle.php?codigo=5635312&fecha=16/11/2021,MARINA,BDE-068-2021,30-nov-21,06-dic-21,http://www.dof.gob.mx/nota_detalle.php?codigo=5637305&fecha=06/12/2021,22205,0,500,0,0,0,0,0,1000,1000,0,2004,,0,0,0,14000,0,250,0,0,0,0,0,0,2400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,0,0,0,0.0,0,0,0,0,30,20,0,0,1,"$1,064,300.00","$5,325,257.03","$6,389,557.03",
180.0,Chiapas,2022,BDE-001-2022,18-abr-22,Hidrometeorológico,Lluvia severa ocurrida el 07 de abril y movimiento de ladera el 08 de abril de 2022,CONAGUA,Amatán,1,SSPC/SPPPCCP/CNPC/DGPC/00392/2022,1946,1946,22-abr-22,"https://www.dof.gob.mx/nota_detalle.php?codigo=5649869&fecha=22/04/2022&print=true#:~:text=Art%C3%ADculo%201o.,en%20el%20Estado%20de%20Chiapas.",SEDENA,BDE-002-2022,25-abr-22,02-may-22,https://www.dof.gob.mx/nota_detalle.php?codigo=5650689&fecha=02/05/2022#gsc.tab=0,29495,0,486,0,0,0,0,0,1946,1946,0,0,0.0,0,0,0,15000,486,486,0,0,972,972,0,0,3528,0,1836,1836,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,1,"$869,490.00","$1,952,315.64","$2,821,805.64",
181.0,Sinaloa,2022,BDE-003-2022,25-may-22,Hidrometeorológico,Onda de calor ocurrida el 05 de mayo de 2022,CONAGUA,"Angostura, Choix, Cosalá, El Fuerte, Salvador Alvarado, y San Ignacio",6,SSPC/SPPPCCP/CNPC/DGPC/00569/2022,36971,36971,31-may-22,https://dof.gob.mx/nota_detalle.php?codigo=5653645&fecha=31/05/2022#gsc.tab=0,Coordinación Estatal de Protección Civil,BDE-005-2022,01-jun-22,08-jun-22,https://dof.gob.mx/nota_detalle.php?codigo=5654488&fecha=08/06/2022#gsc.tab=0,5,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0.0,0,0,0,0,0,0,0,0,0, $-   ,"$6,715,277.35","$6,715,277.35",
182.0,Oaxaca,2022,BDE-004-2022,30-may-22,Hidrometeorológico,"Impacto inminente del huracán ""Agatha"" -extraordinario- el día 30 de mayo de 2022",CONAGUA,"Santa María Colotepec, Santo Domingo de Morelos, San Pedro Pochutla, Santa María Huatulco, San Miguel del Puerto y San pedro Huamelula",6,SSPC/SPPPCCP/CNPC/DGPC/00584/2022 SSPC/SPPPCCP/CNPC/DGPC/00612/2022,23616,23616,03-jun-22,https://www.dof.gob.mx/nota_detalle.php?codigo=5654085&fecha=03/06/2022#gsc.tab=0,MARINA-Coordinación Estatal de Protección Civil,BDE-008-2022,13-jun-22,20-jun-22,https://www.dof.gob.mx/nota_detalle.php?codigo=5655589&fecha=20/06/2022#gsc.tab=0,200764,0,11808,0,0,0,0,0,23616,23616,0,30000,,0,0,0,94000,5904,11808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,3.0,0,0,0,0,0,0,0,0,1,"$31,080,828.00","$45,375,820.57","$76,456,648.57",
183.0,Oaxaca,Oaxaca de Juárez,BDE-006-2022,03-jun-22,Hidrometeorológico,"Lluvia severa en el período del 29 al 31 de mayo del 2022, vientos fuertes el 29 de mayo del 2022 e inundación pluvial el 30 y 31 de mayo del 2022",CONAGUA,"San Marcial Ozolotepec, Santiago Xanica, Asunción Tlacolulita, Candelaria Loxicha, Pluma Hidalgo, San Agustín Loxicha, San Carlos Yautepec, San francisco Ozolotepec, San Mateo Piñas, San Pedro el Alto, Santa María Quiegolani, Santa María Tonameca, Miahuatlán de Porfirio Díaz, San Andrés Paxtlan, San Gabriel Mixtepec San Juan Lachao, San Juan Ozolotepec, San Mateo Río Hondo, San Miguel Suchixtepec, San Pedro Mixtepec Distrito 22, Santa Catarina Juquila, Santa María Ozolotepec, Santiago Astata, Santo Domingo Ozolotepec y Villa de Tututepec",25,SSPC/SPPPCCP/CNPC/DGPC/00610/2022,76909,76909,09-jun-22,https://www.dof.gob.mx/nota_detalle.php?codigo=5654587&fecha=09/06/2022#gsc.tab=0,SEDENA,BDE-007-2022,10-jun-22,17-jun-22,https://www.dof.gob.mx/nota_detalle.php?codigo=5655470&fecha=17/06/2022#gsc.tab=0,472917,0,19230,0,0,0,0,0,76909,76909,0,111408,,0,0,0,150000,19230,19230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,1,"$36,057,078.00","$113,178,658.58","$149,235,736.58",
184.0,Coahuila,2022,BDE-009-2022,01-sep-22,Hidrometeorológico,Lluvia severa el día 30 de agosto del 2022,CONAGUA,Sabinas,1,SSPC/SPPPCCP/CNPC/DGPC/00889/2022,0,0,06-sep-22,https://www.dof.gob.mx/nota_detalle.php?codigo=5663496&fecha=06/09/2022#gsc.tab=0,sin dato,BDE-010-2022,02-sep-22,06-sep-22,https://www.dof.gob.mx/nota_detalle.php?codigo=5663497&fecha=06/09/2022#gsc.tab=0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0, $-   , $-   , $-   ,
185.0,Durango,2022,BDE-011-2022,14-sep-22,Hidrometeorológico,Inundación fluvial en el periodo del 03 al 08 de septiembre del 2022,CONAGUA,Canatlán y Tepehuanes,2,SSPC/CNPC/DGPC/00925/2022,214,0,21-sep-22,https://www.dof.gob.mx/nota_detalle.php?codigo=5665077&fecha=21/09/2022#gsc.tab=0,sin dato,BDE-012-2022,15-sep-22,21-sep-22,https://www.dof.gob.mx/nota_detalle.php?codigo=5665078&fecha=21/09/2022#gsc.tab=0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0, $-   , $-   , $-   ,
186.0,Chiapas,2022,BDE-013-2022,19-oct-22,Hidrometeorológico,"Lluvia severa, inundación fluvial y pluvial ocurridos el 14 de octubre de 2022",CONAGUA,"Chapultenango, Ixtacomitán, Sunuapa, Ostuacán, Pichucalco, Juarez y Reforma",7,SSPC/CNPC/DGPC/01021/2022,31148,31148,25-oct-22,https://www.dof.gob.mx/nota_detalle.php?codigo=5669515&fecha=25/10/2022#gsc.tab=0,MARINA-SEDENA,BDE-014-2022,26-oct-22,02-nov-22,https://www.dof.gob.mx/nota_detalle.php?codigo=5670332&fecha=02/11/2022#gsc.tab=0,38935,0,7787,0,0,0,0,0,0,0,0,0,0.0,0,0,0,31148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,"$16,117,177.60", $-   ,"$16,117,177.60",
187.0,Nayarit,2022,BDE-015-2022,28-oct-22,Hidrometeorológico,"Lluvia severa, vientos fuertes, e inundación Fluvial ocurridos en el periodo del 23 al 24 de octubre de 2022",CONAGUA,"Acaponeta, Huajicori, Tecuala, Tuxpan, Rosamorada, Santiago Ixcuintla, San Blas, Bahía de Banderas",8,SSPC/CNPC/DGPC/01051/2022,27500,27500,03-nov-22,https://www.dof.gob.mx/nota_detalle.php?codigo=5670390&fecha=03/11/2022#gsc.tab=0,MARINA,BDE-016-2022,04-nov-22,11-nov-22,https://www.dof.gob.mx/nota_detalle.php?codigo=5671151&fecha=11/11/2022#gsc.tab=0,34375,0,6875,0,0,0,0,0,0,0,0,0,0.0,0,0,0,27500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,"$15,770,562.50", $-   ,"$15,770,562.50",
188.0,Veracruz,2023,BDE-001-2023,05-ago-23,Hidrometeorológico,Lluvia severa e inundación fluvial y/o pluvial ocurrida el 3 de agosto de 2023,CONAGUA,Zongolica y Naranjal,2,DGPC/001131/2023,6000,6000,05-ago-23,https://www.dof.gob.mx/nota_detalle.php?codigo=5698265&fecha=11/08/2023#gsc.tab=0,SEDENA,BDE-002-2023,12-ago-23,18-ago-23,https://www.dof.gob.mx/nota_detalle.php?codigo=5699165&fecha=18/08/2023#gsc.tab=0,1500,1500,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0, Sin costo erogado , Sin costo erogado , Sin costo erogado ,Las despensas otorgadas en la atención a la población fueron donadas por instituciones privadas
189.0,Baja California Sur,2023,BDE-003-2023,21-ago-23,Hidrometeorológico,"Huracán Hilary y lluvia severa, el 19 de agosto de 2023",CONAGUA,Mulegé,1,DGPC/01198/2023,12000,12000,28-ago-23,https://www.dof.gob.mx/nota_detalle.php?codigo=5699929&fecha=28/08/2023#gsc.tab=0,MARINA,BDE-004-2023,12-ago-23,28-ago-23,https://www.dof.gob.mx/nota_detalle.php?codigo=5699165&fecha=18/08/2023#gsc.tab=1,27000,3000,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,24000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,"$10,756,920.00", $-   ,"$10,756,920.00",
